vulnerabilityID,analysisID,createdAt,vulnerabilities/vulnerabilityID,vulnerabilities_line,vulnerabilities_column,vulnerabilities_confidence,vulnerabilities_file,vulnerabilities_code,vulnerabilities_details,vulnerabilities_securityTool,vulnerabilities_language,vulnerabilities_severity,vulnerabilities_type,vulnerabilities_commitAuthor,vulnerabilities_commitEmail,vulnerabilities_commitHash,vulnerabilities_commitMessage,vulnerabilities_commitDate,vulnerabilities_vulnHash
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.38314-03:00,0088c4cb-3800-4274-a16b-9af4b2498179,9,41,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase4.java,"MessageDigest md = MessageDigest.getInstance(""MD2"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,a573eecf751f3b091f9521d519429f0ed429206500a25434dc6a00250cc62ea3
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383142-03:00,3b45bb90-0cc2-45db-97de-285b569a9ac4,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABPSCase2.java,"MessageDigest md = MessageDigest.getInstance(""MD5"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,e3d86a84266bd1155ed8553be5e385521fcf297d86c6d9f9972b012d0c243fb5
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383143-03:00,0d69e0f2-0806-4722-851c-6940ce53a0cd,9,41,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABPSCase4.java,"MessageDigest md = MessageDigest.getInstance(""MD2"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,9d6dfbdbed6f57f8e58c888365a20ca93cb7e86949001c2874014016a9d0d1ad
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383205-03:00,e01d0803-230c-4353-b5ad-71b6124243ad,9,27,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashBBCase2.java,"MessageDigest md = MessageDigest.getInstance(""MD5"");","Weak Cryptographic Hash Function used
Using a weak CHF pose a threat to your application security since it can be vulnerable to a number of attacks that could lead to data leaking, improper access of features and resources of your infrastructure and even rogue sessions. For more information checkout the CWE-327 (https://cwe.mitre.org/data/definitions/327.html) advisory.",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,cf1eb79770c00dad2f0beadaadeef57ca9731b203a06f96853d0decac4a3944f
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383231-03:00,14a7f1e3-4a8a-4955-927f-cf89e859d3e2,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase1.java,import javax.crypto.*;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,b6de251e3c9edae3b3d869c67ba0c1fd85f869333bd14b1640f14cec2463eb4c
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383232-03:00,39793cdc-6f44-4b12-b3e1-3d8ffbe0974f,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.BadPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,84a26f8ad621a47c7d1864e97b3e95500124effd3c04a107f97726a99ce63496
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383233-03:00,f6adeab3-5c9d-438d-942a-9ee524b9245d,4,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.IllegalBlockSizeException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,762726194fa00e1dfb69a0e63702f56defa6d785b1ca66a01b365a1d01d39e85
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383235-03:00,035ca49a-61b1-4be6-a31e-1c5e630c2a96,5,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase2.java,import javax.crypto.NoSuchPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,57d6f4b49f996fc9174eaabc1da1fb99c2b9e0a0ef18b46ff1d53216c1af4869
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383236-03:00,2171219d-074d-443d-9769-f93e014eeab4,3,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase4.java,import javax.crypto.BadPaddingException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,206d6120634b2f7c0c8612e3acb50fabf438d56b8357bdf05fc4be5a08e345a3
00000000-0000-0000-0000-000000000000,4ae7bb63-5ad4-4d17-a5f9-01558eeb4e23,2022-02-09T10:26:07.383238-03:00,a4406b61-ccab-4b33-9bb7-8c8a3f6272de,4,7,LOW,br/unb/cic/bench02/mop/brokenhash/BrokenHashABSCase4.java,import javax.crypto.IllegalBlockSizeException;," Crypto import
 Crypto import",HorusecEngine,Java,HIGH,Vulnerability,-,-,-,-,-,307b4ec926f36e6cd086034f826eef872024d03a31ee8e34dca088337a4bbb74
